id,quantity,author,title,publisher,category_id
0,272,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",Wiley,12
1,491,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",Oxford University Press,7
2,226,Stephenie Meyer,"Twilight (Twilight, #1)",Scholastic,1
3,487,Harper Lee,To Kill a Mockingbird,Springer,1
4,1356,F. Scott Fitzgerald,The Great Gatsby,Simon & Schuster,2
5,226,John Green,The Fault in Our Stars,Scholastic,12
6,969,J.R.R. Tolkien,The Hobbit,Scholastic,4
7,360,J.D. Salinger,The Catcher in the Rye,Springer,3
8,311,Dan Brown,"Angels & Demons  (Robert Langdon, #1)",Macmillan Publishers,4
9,3455,Jane Austen,Pride and Prejudice,Springer,11
10,283,Khaled Hosseini,The Kite Runner,HarperCollins,12
11,210,Veronica Roth,"Divergent (Divergent, #1)",HarperCollins,2
12,995,"George Orwell, Erich Fromm, Celâl Üster",1984,Oxford University Press,12
13,896,George Orwell,Animal Farm,Penguin Random House,5
14,710,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,HarperCollins,10
15,274,"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",Simon & Schuster,5
16,201,Suzanne Collins,"Catching Fire (The Hunger Games, #2)",Macmillan Publishers,3
17,376,"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",Macmillan Publishers,2
18,566,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",Hachette Livre,12
19,239,Suzanne Collins,"Mockingjay (The Hunger Games, #3)",HarperCollins,3
20,307,"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",HarperCollins,7
21,183,Alice Sebold,The Lovely Bones,Macmillan Publishers,4
22,398,"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",Pearson,12
23,332,"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",Hachette Livre,1
24,263,"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",Scholastic,11
25,350,Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",Macmillan Publishers,9
26,275,"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",Simon & Schuster,1
27,458,William Golding,Lord of the Flies,Pearson,9
28,1937,"William Shakespeare, Robert           Jackson",Romeo and Juliet,Wiley,3
29,196,Gillian Flynn,Gone Girl,Oxford University Press,5
30,183,Kathryn Stockett,The Help,Macmillan Publishers,9
31,373,John Steinbeck,Of Mice and Men,Simon & Schuster,10
